Legajo;Password;Email;Tipo de Empleado;Especialidad
1;ALM1990++;jmartinez@gmail.com;Administrador;Administrativo
2;Maria1234;msanchez@gmail.com;Administrador;Administrativo
3;MigueloOK123;mlopez@gmail.com;Administrador;Administrativo
4;ASK987FFT;mirala@gmail.com;Administrador;Administrativo
5;Sanabria98ok;csanabria@gmail.com;Administrador;Administrativo
6;ACL123456;jmartinez@gmail.com;Administrativo;Administrativo
7;Vacio;mperez@gmail.com;Administrativo;Administrativo
8;FRES987+;elopez@gmail.com;Administrativo;Administrativo
9;ALTE6532+;msanchez@gmail.com;Administrativo;Administrativo
10;Vacio;lgomez@gmail.com;Administrativo;Administrativo
11;FERT326+;lfernandez@gmail.com;Administrativo;Administrativo
12;KOCT655+;tmartinez@gmail.com;Administrativo;Administrativo
13;PRES932+S;jirala@gmail.com;Administrativo;Administrativo
14;ROSL+56S+;mjuarez@gmail.com;Administrativo;Administrativo
15;Vacio;jlopez@gmail.com;Administrativo;Administrativo
16;ACL123456;mperez@gmail.com;Medico;Administrativo
17;Vacio;mleudo@gmail.com;Medico;Pediatria
18;FRES987+;erepeto@gmail.com;Medico;Kinesiologia
19;ALTE6532+;lcardozo@gmail.com;Medico;Oftalmologia
20;Vacio;mmaldonado@gmail.com;Medico;Traumatologia
21;FERT326+;vecheverria@gmail.com;Medico;Obstetricia
22;KOCT655+;vbenitez@gmail.com;Medico;Psicologia
23;PRES932+S;lgauto@gmail.com;Medico;Nutricion
24;ROSL+56S+;gcornejo@gmail.com;Medico;Psiquiatria
25;*+-ALR+65;lmerlo@gmail.com;Medico;Dermatologia
26;LDSC0233;csanchez@gmail.com;Medico;Administrativo
27;QERT1234;jgonzalez@gmail.com;Medico;Pediatria
28;POIUY985;lgomez@gmail.com;Medico;Kinesiologia
29;LOUT1654++;abenitez@gmail.com;Medico;Oftalmologia
30;CARTD++444;yfernandez@gmail.com;Medico;Traumatologia
31;UTRE12+54;lcaceres@gmail.com;Medico;Obstetricia
32;MURT597++;csanchezs@gmail.com;Medico;Psicologia
33;CAEW+98*;ftorrez@gmail.com;Medico;Nutricion
34;CART6987+1;rsaucedo@gmail.com;Medico;Psiquiatria
35;CARE+99913;hdiaz@gmail.com;Medico;Dermatologia
36;CAREW123456;mgonzalez@gmail.com;Medico;Administrativo
